Gene1,Gene2,Label
Gnb1l,Cops7a,WT_specific
Ubtf,Lpp,WT_specific
Inpp1,Gm6902,WT_specific
Paox,Padi4,WT_specific
Cdyl2,C7,WT_specific
Tbc1d24,Slc38a6,WT_specific
Rab9b,Dctd,WT_specific
Sorcs2,Ebf1,WT_specific
Mcph1,Kcnj12,WT_specific
Lrrc8e,Commd1,Shared
Strbp,Chrna1,AD_specific
Zc3hav1,Ears2,WT_specific
Slc3a2,Ikbip,Shared
Nav2,Cog7,AD_specific
Tmem69,H2-DMa,WT_specific
Nhsl1,Cfap99,Shared
Hyal3,Camk4,WT_specific
Tlr7,Slc10a7,Shared
Zfp607b,Zfp420,AD_specific
Rint1,Ppp2r2b,WT_specific
Zfp996,Tcp11l1,WT_specific
Slc35e2,Aqp7,AD_specific
Wdfy3,Trim43c,AD_specific
LOC118567992,Btbd9,AD_specific
Maml2,Azin1,AD_specific
Gjd3,Ankrd55,WT_specific
Nbea,Igsf10,Shared
Tprgl,Acot4,WT_specific
Zfp771,Trip4,WT_specific
Map2k5,Itga7,AD_specific
Kcnd2,Ces2f,Shared
Lrrc58,Cdc42bpb,AD_specific
Nfat5,Lonrf1,WT_specific
Tnfrsf10b,Kazn,AD_specific
Suds3,Morn1,Shared
Mob3c,Gmeb1,AD_specific
Dst,Atxn3,Shared
Vamp4,Slc3a2,Shared
Zfp706,Wdr31,Shared
Prkcb,Chst15,WT_specific
Ascc1,2610044O15Rik8,AD_specific
Mtmr12,Cdh7,WT_specific
Snrnp35,Fnip2,WT_specific
Tnfrsf10b,Negr1,AD_specific
Mpv17,Gabpb1,WT_specific
Tprgl,Fbxo33,AD_specific
Ndst1,Acap2,WT_specific
Nfasc,Mob4,AD_specific
Gda,Gbp6,WT_specific
Zcchc4,Mbd4,WT_specific
Plscr3,Paox,Shared
Shank1,Dip2b,WT_specific
Tnfrsf13c,Tmco1,WT_specific
Rnf225,Dido1,AD_specific
Rpl17,B4galt6,AD_specific
Trim9,Stat1,WT_specific
Stard3nl,Ripply3,AD_specific
Ripk1,Nav2,WT_specific
Ttc28,Foxg1,WT_specific
Xpnpep1,Ccdc82,AD_specific
Rpl31,Pou2f2,AD_specific
Spopl,Psg16,Shared
