Gene1,Gene2,Label
Zfand4,Map3k3,AD_specific
BC028528,4933428G20Rik,WT_specific
Pgm2l1,Gabre,WT_specific
Klhl7,Clec16a,WT_specific
Vipr2,Gprin3,AD_specific
Epha5,Ank3,AD_specific
Zkscan7,Gxylt2,WT_specific
Zfp976,Kcnip4,AD_specific
Pts,Itgb1bp2,WT_specific
Itgb1bp2,Gsdma,AD_specific
Gm8279,Gm3264,Shared
Dhx40,Cacna1e,Shared
Frem2,Acbd6,Shared
Mertk,Cryzl2,AD_specific
Trim12c,Dgkz,AD_specific
Tnks2,Il17ra,Shared
Erc1,Csmd3,WT_specific
Mrpl14,Lrrc69,WT_specific
Lrrc7,Hoxc9,WT_specific
Ttc23l,Bzw2,Shared
Gm38699,Atp11a,AD_specific
Tmem44,Mcc,AD_specific
Slc16a14,BC028528,WT_specific
Gm5797,Gm3005,AD_specific
Slc38a11,Aqp7,WT_specific
Zbtb25,Grin3a,AD_specific
Ston2,Fam219b,WT_specific
Ptbp1,Ccdc82,AD_specific
Pkd1l3,Chd9,Shared
Plag1,Gm1110,AD_specific
Clec16a,Cdk7,AD_specific
Stk3,Ak4,WT_specific
Klhl32,Esyt2,AD_specific
Stx11,Gm16867,Shared
Mtpn,E2f1,WT_specific
Xpr1,Sp110,WT_specific
Slc16a6,Nucks1,WT_specific
Ms4a12,2210408I21Rik,Shared
Jchain,Chchd3,WT_specific
Tcea1,Slc3a2,AD_specific
Lmo3,Gpr157,WT_specific
Utp23,Ppp2r2b,WT_specific
Gm7972,Camk2a,WT_specific
Sox6,Rarb,AD_specific
Morn1,Cwf19l2,Shared
Bfsp2,Ankrd10,Shared
LOC118568593,Clec16a,WT_specific
Pwwp2a,Pde10a,WT_specific
Tmprss7,Kansl1l,Shared
Dpysl2,Dennd5b,WT_specific
Mgat3,LOC118568662,Shared
Rab3c,Nacc2,WT_specific
Tc2n,Creg2,WT_specific
Arl15,Anxa9,AD_specific
Zfp462,Tulp4,WT_specific
Nhsl1,Nacc2,WT_specific
Gm36298,6720489N17Rik,WT_specific
Zfp12,Wdfy3,AD_specific
Nwd2,CN725425,AD_specific
Il2ra,Dzip1,WT_specific
Map2k5,Ap1s3,AD_specific
Lrrc7,Grip1,Shared
Magt1,Etv1,AD_specific
Ccdc82,Aig1,Shared
Gm8764,Gm4303,AD_specific
Hspa12a,Adat1,AD_specific
Zbtb8b,Ccdc144b,WT_specific
Wdr34,Sptan1,AD_specific
Mrpl4,Aifm2,AD_specific
Gria3,Cd80,WT_specific
Kctd16,Gm46345,Shared
Shc4,Atp2b2,WT_specific
Magi1,Kdsr,WT_specific
St3gal2,Rtkn2,AD_specific
Kctd14,Cep170,WT_specific
Egflam,Cradd,Shared
Nkx2-1,Grin3a,Shared
Zbtb37,Sez6l2,AD_specific
Cd93,Ccdc167,AD_specific
Cast,Baalc,AD_specific
Erc1,Ctbp2,WT_specific
Amd2,Abhd6,WT_specific
Kcp,Col8a1,WT_specific
Harbi1,Ap1s3,WT_specific
Cdk9,Armc9,AD_specific
Phex,2210408I21Rik,Shared
Gm3239,Gm2956,Shared
Dnase1l3,Akna,WT_specific
Gpc4,Chd9,AD_specific
Zkscan2,Srd5a3,WT_specific
Srbd1,Otud7a,AD_specific
Blvra,2610507B11Rik,AD_specific
Nrp2,LOC118568482,AD_specific
Ppp1r14c,Ppm1h,AD_specific
Lcp2,Atxn7l1,AD_specific
Ntrk3,Mbd4,AD_specific
Zeb1,Etfa,WT_specific
Rbm28,Khdrbs2,AD_specific
Hipk2,Diaph3,WT_specific
Mre11a,Dynlt1a,WT_specific
Ptprn2,Cfap100,AD_specific
Klf13,Gnaz,WT_specific
Lingo2,Arhgap21,WT_specific
Ntm,Mfsd4b5,Shared
St3gal4,4930579G24Rik,AD_specific
Rexo5,Hmgcll1,Shared
Pi15,Esrrg,WT_specific
Btbd9,Ash1l,AD_specific
Tbck,Slc3a2,WT_specific
Chn2,Actr3b,WT_specific
Rora,Hspa12a,WT_specific
Luc7l2,Limch1,AD_specific
Fcamr,Adra1a,WT_specific
Klk14,Gabra6,Shared
Rmi2,Mrpl14,WT_specific
Mucl3,Maml2,WT_specific
Slc7a6,Gapvd1,WT_specific
Ybey,Rb1cc1,AD_specific
Zfp534,Zbtb8os,AD_specific
Runx3,Camk4,AD_specific
Trip4,Klhl32,WT_specific
Ncan,Med16,AD_specific
Mest,Cacna1e,WT_specific
Tcf12,Nhs,WT_specific
Ociad1,Dgkh,AD_specific
Slc16a14,Luc7l2,WT_specific
Sidt2,Nphp4,WT_specific
Ckap5,4930447C04Rik,AD_specific
Lnx1,Ccdc43,Shared
Cyp2j13,Cd84,Shared
Tmem106c,Got1l1,AD_specific
Kirrel,Cep170,Shared
Mup6,Mup14,Shared
LOC118568219,9930021J03Rik,AD_specific
Lhcgr,Khdrbs2,WT_specific
Zscan20,Mprip,WT_specific
Cdh7,Alkbh8,WT_specific
Zmat4,Morn1,WT_specific
Cyrib,4933428G20Rik,AD_specific
Txnl4a,Rbm28,Shared
Tafa3,Sfxn4,AD_specific
Pkd1l3,Dgki,WT_specific
Gm9222,Gm3973,Shared
Tom1l1,Ms4a12,AD_specific
Pdcd4,Cand2,Shared
Smg7,Ms4a6d,WT_specific
Ksr1,Cdk9,AD_specific
Steap2,Nhs,WT_specific
Klrg2,Gpr35,AD_specific
Slc38a11,Mfsd4a,Shared
Psd3,Ppargc1b,WT_specific
Zfp85,Tenm2,WT_specific
Tcp11l1,Fgf14,Shared
Nwd2,Cryzl2,AD_specific
Pkm,Lrrc4c,Shared
Zscan2,Lzic,WT_specific
Tmco1,Gm3629,AD_specific
Zfp950,Ces2b,Shared
Grip1,Gm46345,AD_specific
Sema6d,Jarid2,AD_specific
Rad51c,Diaph3,WT_specific
Trim9,Larp4b,Shared
Zfp277,Ak4,Shared
Zfp873,Cyp27b1,AD_specific
Usp3,Homer2,WT_specific
Phka2,Atp5l,WT_specific
Scgb3a1,Hlcs,WT_specific
Dcaf17,Cep85l,WT_specific
Zfp516,Acad9,WT_specific
Lrrtm1,Ecpas,WT_specific
E2f3,Abhd6,WT_specific
Zcwpw1,Mrpl4,AD_specific
Zdhhc17,Pou1f1,WT_specific
Ro60,Mcc,AD_specific
Fam205a3,Ap4s1,AD_specific
Polh,Cdc42bpb,AD_specific
Nfkb2,Ms4a12,AD_specific
Spred2,Cdkl2,AD_specific
Slc35a1,Cdh19,Shared
Map2k5,Malt1,WT_specific
Zbtb6,Cep57l1,WT_specific
Ptpn12,Gxylt2,AD_specific
Ppcdc,Gm21119,Shared
Slc43a2,Nsun7,WT_specific
Rdh1,Mcmdc2,AD_specific
Pde10a,Gm29667,Shared
Gm31606,Cox7c,WT_specific
Gm31035,Dgkh,WT_specific
Kalrn,Hspb11,AD_specific
Naip5,Hid1,AD_specific
Zscan2,Ube2c,WT_specific
Zfp111,Usp6nl,WT_specific
Tbck,Ctnnd1,WT_specific
Ppp1r14c,Gm33989,Shared
Zfp488,Ccdc18,WT_specific
Mxra7,Def8,Shared
Rpl21,Ccm2,WT_specific
Hdac9,Foxj3,AD_specific
Itga4,Dock1,AD_specific
Dcaf1,Ccdc88a,AD_specific
Tigd4,Gm31606,AD_specific
Gcdh,Cd33,WT_specific
Wdr12,Casc1,WT_specific
Xiap,Ddhd2,WT_specific
Tmem184c,Tedc1,WT_specific
Gm3739,Gm2237,Shared
Kcnd2,Gria1,Shared
Mdc1,LOC115488470,Shared
Zfp458,Srpk2,WT_specific
Rabgap1l,Ecpas,WT_specific
Pon1,Nrg2,WT_specific
Tnfrsf10b,Ppp2r2b,WT_specific
Shprh,Gm52229,AD_specific
Stag1,Bpnt1,WT_specific
Npas3,LOC118567664,Shared
Gfod2,Celf4,WT_specific
Nhsl2,Gm21119,WT_specific
Khdrbs2,Gm14295,Shared
Nfkb2,Mga,AD_specific
Fgf10,D830030K20Rik,AD_specific
Tyms,Nat8f7,AD_specific
Kcnq5,Arl15,WT_specific
Zscan20,Fam186b,AD_specific
Ptpn12,Eef1a2,WT_specific
Ttf1,Atad2,AD_specific
Slc29a2,Fam169a,AD_specific
Pxmp2,Eepd1,WT_specific
Unc5a,Mzf1,WT_specific
Kcnq5,Bcl2l11,AD_specific
Hddc3,4930430F08Rik,AD_specific
Zdhhc2,Tmem245,Shared
Stau2,Asap2,Shared
Zfp57,Anxa9,Shared
Wdfy1,Ccdc167,AD_specific
Shfl,Ncapd2,WT_specific
Tmem63c,Prr11,WT_specific
Lhfpl4,Lcp2,WT_specific
Ehbp1,Egflam,WT_specific
LOC115488789,Fars2,AD_specific
Rassf5,Eif2d,Shared
Nfyc,LOC115488470,AD_specific
Zbtb34,Bicd1,WT_specific
Spc24,Csf2ra,AD_specific
Utp11,Agl,WT_specific
Fmo5,Fmn2,WT_specific
Tdrd3,Efcab8,AD_specific
Mysm1,Ifnar1,WT_specific
Slco5a1,Rexo5,WT_specific
L3mbtl1,Cox7b,AD_specific
Stxbp2,Hltf,Shared
Rtkn2,Npas4,WT_specific
Zmynd8,4930579G24Rik,WT_specific
Vangl2,Cyb5r3,WT_specific
Nrg2,Dyrk1b,AD_specific
Wdr20,Abt1,AD_specific
Wnk3,Spc24,WT_specific
Cyp4a31,App,WT_specific
Lpl,Fgf9,AD_specific
Syt11,Rac2,AD_specific
Tnfrsf22,Fan1,AD_specific
Elmo1,Cxxc4,WT_specific
Stx4a,Stac3,WT_specific
Olfr381,Olfr1352,WT_specific
Npas3,Gm38702,WT_specific
Pard3b,Lipm,WT_specific
Stard6,Clasp1,Shared
Syne1,Lrrc63,AD_specific
Gm3476,Gm3264,WT_specific
Phactr2,Fgf10,WT_specific
Uty,4833420G17Rik,WT_specific
Gmeb1,Cntnap5b,WT_specific
Rbpj,Eapp,AD_specific
LOC115489417,Ect2l,AD_specific
LOC118567625,Gm39701,AD_specific
Ppm1h,Kif24,WT_specific
Ube2w,Aoc2,AD_specific
Usp3,Slc3a2,WT_specific
Zfp853,Inhba,WT_specific
Marchf8,Insyn2a,WT_specific
Unc13b,Cntnap2,AD_specific
Psg16,Eif2s3y,Shared
Rapgef2,Kif27,WT_specific
Hs3st2,Gm34362,WT_specific
Phf24,Nacc2,AD_specific
Gm14326,Ankrd7,AD_specific
Osbpl10,Ift46,WT_specific
Syn3,Cer1,WT_specific
Dcun1d5,Cwf19l2,Shared
Ctcf,Ccdc85a,WT_specific
Zfp668,Rtbdn,AD_specific
Il5ra,1700001J03Rik,WT_specific
Stxbp4,Rufy3,WT_specific
Srsf2,Myl4,WT_specific
Zfp811,Wdr66,WT_specific
Wdfy1,Med16,WT_specific
Ros1,Ms4a12,Shared
Tirap,Luc7l2,AD_specific
Kif26a,Gpr150,WT_specific
Ldah,Endov,WT_specific
Tcp11l1,Nfkb2,Shared
Nkx2-5,Klhl32,AD_specific
Slitrk4,Celf6,WT_specific
Osbpl8,Dmtn,WT_specific
Zfp369,4930453N24Rik,WT_specific
Golm2,Flywch1,WT_specific
Syne1,LOC115489417,Shared
Pou3f2,Ncapd2,WT_specific
Pan3,Lama2,WT_specific
Gm5458,Gm3095,AD_specific
Pi15,1110032A03Rik,WT_specific
Numb,Haus8,AD_specific
Smco4,Ppp4r1,WT_specific
St8sia1,Prl5a1,WT_specific
Tfap2d,Slc6a18,WT_specific
LOC108167553,Hacd2,AD_specific
Vps33b,Kcne1,AD_specific
Rbm17,Cadm1,WT_specific
Larp4b,Hmgcll1,Shared
Kcnq5,Cdh4,WT_specific
Slfn9,9930111J21Rik1,Shared
Stx4a,Flywch1,AD_specific
Cdc123,Cast,AD_specific
Gm5977,Asb13,Shared
Xpnpep2,2210408I21Rik,WT_specific
Zfp971,Crx,AD_specific
Sv2c,Blvra,AD_specific
Zfp994,Cmah,Shared
Rims4,Guca1b,WT_specific
Tmc2,Rab2a,WT_specific
Tmem19,Hlcs,Shared
Mob3c,Golga4,WT_specific
Ogdhl,Heph,WT_specific
Tmem245,Eif2s3y,Shared
Stxbp4,Slc6a5,WT_specific
Grm1,Gpr174,AD_specific
Bard1,Arhgap26,WT_specific
Rragd,Fnip2,WT_specific
Slc9a1,Gpr174,WT_specific
Slc29a2,Nek7,AD_specific
Armcx1,Ap1s3,AD_specific
Rimklb,Ints2,AD_specific
Slfn5,Gpr157,AD_specific
Frrs1,Cntnap5c,WT_specific
Rttn,Rere,AD_specific
Plk3,Chchd3,WT_specific
Knl1,Cdh7,WT_specific
Sfi1,Gm16867,WT_specific
Lpl,Kirrel3,WT_specific
St3gal1,Lrrc7,WT_specific
Slc2a10,2900026A02Rik,AD_specific
Paxbp1,Car10,WT_specific
Frmpd4,Fgf8,WT_specific
Foxp1,Ccdc15,Shared
Zfp300,Celf2,Shared
Zfand2a,Chrnb3,AD_specific
Dnph1,Cetn3,AD_specific
Tmppe,Nup50,AD_specific
Pou2f1,Hint3,Shared
Idnk,4930447C04Rik,AD_specific
Vmn2r1,Cep290,AD_specific
Pex5l,Kcnd2,AD_specific
Paqr3,Grk4,AD_specific
Zfp790,Wdfy2,AD_specific
Pik3c2b,Gphn,WT_specific
Snupn,Btbd9,WT_specific
Ppp1r9a,Dlgap4,WT_specific
Morn1,Fam81a,AD_specific
Zfp771,Mrtfb,WT_specific
Gria3,Gm29776,AD_specific
Slc25a19,Aig1,WT_specific
Stox2,Jakmip2,WT_specific
Wdr88,Gpatch1,AD_specific
Pag1,Mdn1,WT_specific
Ppp3ca,Havcr2,AD_specific
Trabd2b,Eif4e3,WT_specific
Gm7945,Gm21154,AD_specific
Ube2w,Ift46,AD_specific
Slc25a40,LOC118567664,Shared
Usp17la,Mill2,Shared
Spred2,Rpgrip1,AD_specific
Shank1,Ptchd1,WT_specific
Lrrc69,Gm4841,WT_specific
Fmn2,Celf4,WT_specific
Gtdc1,Gria1,AD_specific
Tmem132b,Kcna1,WT_specific
Pdcd4,Ncoa7,WT_specific
Zfp937,Zfp488,AD_specific
Rnf169,Gmpr2,AD_specific
Jkamp,Ccdc175,AD_specific
Mrtfb,Lrriq4,AD_specific
Gls,Exosc7,AD_specific
Tox3,Nwd2,WT_specific
Poglut3,Macf1,AD_specific
Pou2f2,Gabra6,Shared
Sema4d,Cwf19l2,AD_specific
Zkscan2,Vmn1r58,Shared
Crem,Cacna1e,WT_specific
Zfp202,Grk4,Shared
Rora,Fmn2,Shared
Vit,Ankrd33b,WT_specific
Timmdc1,Cdkl2,AD_specific
Ripor2,Ftsj1,WT_specific
Pou1f1,Chl1,Shared
Slc3a2,Gmeb2,Shared
Phactr1,Klhl32,WT_specific
Kcnd2,Gimd1,WT_specific
Pak6,Dpp4,WT_specific
Plxdc2,Hspb11,WT_specific
Slc10a7,Rhobtb3,AD_specific
Ubtf,Nckap5,WT_specific
Wdr20,Arhgap26,AD_specific
Uhrf1bp1l,Rnf125,WT_specific
Tlr7,Ak4,Shared
Zscan2,Mrpl4,AD_specific
Smtnl2,Slc3a2,Shared
Stx4a,Arhgap21,WT_specific
Crisp4,B230307C23Rik,WT_specific
Pigq,Kmt5b,AD_specific
Usp48,Deaf1,WT_specific
Cpne3,Adgrf2,WT_specific
Nkx1-2,Gm7697,WT_specific
Vti1a,Fan1,AD_specific
Nlrc3,Anxa9,AD_specific
Golga1,Arpc5l,AD_specific
Sugt1,Golm2,WT_specific
Rab2a,Cdc42bpb,AD_specific
Foxn2,Cdk6,WT_specific
Gm10015,Anxa9,AD_specific
Zfp950,Dusp22,AD_specific
Zfp53,4930579G24Rik,AD_specific
Mcc,Kansl1l,Shared
Rdh19,Cabp5,WT_specific
Pmvk,Picalm,WT_specific
St8sia1,Commd1,WT_specific
Pde4b,L3mbtl4,Shared
Fzd4,Dvl3,WT_specific
LOC115486427,Gm21977,WT_specific
Plxdc2,Adal,Shared
Sema4b,Ptpn12,WT_specific
Wdr64,Suds3,WT_specific
Sec24d,Rab3c,AD_specific
Fam172a,Atxn3,AD_specific
Nrros,LOC118568299,WT_specific
Slc7a14,Hfe,AD_specific
Zfp248,Wipf2,AD_specific
Zfp697,Mrpl27,WT_specific
Kcnj12,Jarid2,WT_specific
Kcnip4,Abhd6,Shared
Zfp583,Zbtb25,Shared
Kcnq5,Dpp4,Shared
Ncbp3,Ankrd33b,WT_specific
Prdm2,Gm46345,AD_specific
Sox6,Ccdc15,AD_specific
Ttc23l,Nkx2-1,AD_specific
Pigr,Hdc,WT_specific
Neto1,H2-Q4,Shared
Synrg,Pramel50,AD_specific
Mrtfb,Hacd2,AD_specific
Tdrd3,St3gal4,WT_specific
Hinfp,Fam135b,WT_specific
Tprgl,Gnb2,WT_specific
Trhr,Dvl3,AD_specific
Gm10015,Dcaf1,AD_specific
Ppp4r1,Cdk9,AD_specific
Vmn2r129,Vmn2r121,Shared
Tmem19,Ccnl2,AD_specific
Tfap2d,Acad9,Shared
LOC115488283,Gm3264,AD_specific
Rhox8,Mrpl27,AD_specific
Tns4,Gje1,AD_specific
Zfp970,Egflam,WT_specific
Ppcdc,C130026I21Rik,WT_specific
Zeb1,Clmn,AD_specific
Phldb2,Frem2,WT_specific
Zeb1,H2az1,WT_specific
Npffr1,Nars2,AD_specific
Dgkz,Celf1,WT_specific
Gm3239,Gm3005,Shared
Dhrs3,Dcx,WT_specific
Hdac4,Apex2,WT_specific
Taf1d,Rab2a,AD_specific
Prr11,Ckap5,AD_specific
Dlg1,Cbll1,WT_specific
Zbtb25,Mmp14,WT_specific
Sema6d,Runx3,WT_specific
Ppp4r1,Ccdc167,WT_specific
Wdcp,Churc1,AD_specific
Slc29a2,Mcc,WT_specific
Eaf2,Csf2ra,Shared
Slc25a42,Rasd2,Shared
Vps37a,Pafah2,AD_specific
Dnpep,Adprhl1,AD_specific
Zdhhc8,Rfx4,WT_specific
Dtnb,App,WT_specific
Utp11,Gimap8,WT_specific
Tprgl,0610030E20Rik,WT_specific
Rimklb,Ndufaf6,AD_specific
Zfp706,Ak4,AD_specific
Lsm6,Ankfy1,AD_specific
Tenm2,Kif26b,WT_specific
Nfatc2,Kctd7,WT_specific
Igsf10,Gpt2,AD_specific
Morn1,Inhba,WT_specific
Zfp948,Zfp873,AD_specific
Slc38a6,Ksr1,WT_specific
Spc24,Cdkl1,AD_specific
Rbm41,Pigv,WT_specific
Il12rb1,Exd1,WT_specific
Stxbp4,Bco1,WT_specific
Smarcad1,Pramel33,AD_specific
Ngf,Cyp4a31,WT_specific
Gm52229,Btbd16,WT_specific
F830016B08Rik,Ccl7,WT_specific
Usp3,Map2k5,WT_specific
Dido1,Ddr1,WT_specific
Prex2,Nab1,WT_specific
Ubap1,Stap2,AD_specific
Negr1,Ncor2,WT_specific
Terf1,Adcy6,WT_specific
Serpina1a,Ncoa7,WT_specific
Zfp937,Tulp2,AD_specific
LOC118568783,LOC118567336,Shared
Slc7a14,Clec16a,WT_specific
Zfp583,Nid2,WT_specific
Grk4,Crip3,Shared
Zbtb20,Mest,Shared
Tmem245,Cntnap2,Shared
Ppp1r14c,Grk4,Shared
Zfp382,Nup98,AD_specific
Mdm2,Colec12,WT_specific
Vmn1r213,Gpatch2,AD_specific
Slx1b,Kif24,AD_specific
Rab11fip1,Khdrbs2,WT_specific
Xpo4,Slc7a14,AD_specific
Plk1,Ern2,WT_specific
Exosc2,Dedd,AD_specific
Mrpl14,Gatad2b,WT_specific
Miga1,Gabra3,WT_specific
Sox5,Epb41l1,WT_specific
Lrrc7,Gm33532,Shared
Slc7a6,Bloc1s2,AD_specific
Sri,Barhl1,WT_specific
Syt11,Ftcd,AD_specific
LOC118568783,AW554918,Shared
Nasp,Fuom,Shared
Rgs7bp,Mgat3,WT_specific
Mcph1,Cd55,Shared
Kcnd2,Gjc3,Shared
Pkd1l3,Kirrel,WT_specific
Rnf125,Lrrc7,AD_specific
Spc24,Gpn1,AD_specific
Plekhh1,Fyco1,AD_specific
Tprkb,N4bp1,WT_specific
Slc25a40,LOC118568348,Shared
Nebl,Hpca,WT_specific
Slc16a10,Gpatch2,WT_specific
Naca,Mlph,WT_specific
Nucks1,Mrps12,WT_specific
Slc38a6,Fmo1,Shared
Zfp457,Tyms,WT_specific
Smg9,Adam28,AD_specific
LOC118567918,LOC115488029,Shared
Zfp939,Rngtt,Shared
Gm33989,4932414N04Rik,AD_specific
Zfp995,Rtbdn,WT_specific
Nbn,Kirrel3,WT_specific
Speer4e,Gm17019,AD_specific
Zfp672,Gab1,AD_specific
Srbd1,Celf2,WT_specific
Rdh9,LOC118567664,Shared
Tasl,Clec4a2,Shared
Cetn3,Adat1,WT_specific
Kcnma1,Kcng3,WT_specific
Syn3,Hddc3,Shared
Lrrc3,Adgrl3,WT_specific
Ube3a,Strbp,WT_specific
Tenm2,Adamts17,WT_specific
Pcnx4,Gsap,Shared
Nrg2,Ccnl2,AD_specific
Stxbp6,Cdh7,WT_specific
Vash1,Iqsec3,WT_specific
Ifi203,Gmnn,AD_specific
Pou6f2,Odf4,WT_specific
Ppp4r1,Acap2,WT_specific
Lzic,Adat1,Shared
Optn,Mettl2,AD_specific
Zfp516,Pigr,AD_specific
Zeb1,Abcd4,AD_specific
Rapgef4,Ppcdc,AD_specific
Rpl37a,Dlgap4,WT_specific
Slc10a7,Igsf10,AD_specific
Syt12,Neu3,AD_specific
Sim1,Kcnc1,WT_specific
Zbtb44,Usp4,WT_specific
Zfp236,Ebf1,WT_specific
Syn3,Chst2,WT_specific
Fam13c,3300002I08Rik,Shared
Tenm2,Gda,WT_specific
Xcr1,N4bp2,AD_specific
Flywch1,Emc1,AD_specific
Ldlrad1,Itgb1bp2,WT_specific
Sp100,Pou2f1,AD_specific
Golga4,Cacna2d4,WT_specific
Ttbk1,St8sia3,WT_specific
Ppwd1,Awat2,WT_specific
Phactr2,Fan1,WT_specific
Tuba8,Nrf1,WT_specific
Slc35f1,Etv1,AD_specific
Ncan,Glrx2,AD_specific
Cnbd2,Camkmt,AD_specific
Rad51d,Pms1,WT_specific
Pygo1,Gm32719,WT_specific
Senp7,Dcaf17,Shared
Ncbp1,Lrrc7,Shared
Tenm3,Cenpc1,WT_specific
Wdr31,LOC118568310,Shared
Ppp1r3g,Mbd1,WT_specific
Washc4,Ttbk1,WT_specific
Mgat3,Amer1,AD_specific
Rtbdn,Acbd6,AD_specific
Neto1,Mapkbp1,WT_specific
Slc3a2,Ascc1,AD_specific
Slc25a38,Rfx4,Shared
Nip7,Klhl33,WT_specific
Zdhhc2,3830406C13Rik,AD_specific
Sp100,Lcp2,WT_specific
Dcaf1,Ankrd33b,Shared
Ntrk3,Cplx2,Shared
Pex12,Etfa,AD_specific
Prmt5,Mapt,WT_specific
Kirrel,Cxcr2,Shared
Spin1,Dnah7b,Shared
Tlr7,Olfr613,Shared
Spock2,Pi15,WT_specific
Zzz3,Sys1,WT_specific
Gng2,Fuca2,WT_specific
St8sia4,Lama2,AD_specific
Zfp277,E030030I06Rik,WT_specific
Ttc39b,Ino80,AD_specific
Tacc2,D17H6S53E,AD_specific
Npas3,Cntn1,AD_specific
Zfp422,Brd3,WT_specific
Olfr809,Cd33,WT_specific
Thsd1,2210016F16Rik,WT_specific
Zfp369,Tox3,AD_specific
Magi1,Kcnk12,WT_specific
Zmynd8,Mterf1b,WT_specific
Grin3a,Grik2,Shared
Zfp697,LOC118568753,AD_specific
Ripor1,Ints10,WT_specific
Stard3nl,Emsy,WT_specific
Relb,Ncapd3,WT_specific
Slc25a12,Dnm3,WT_specific
Gimd1,Armcx1,WT_specific
Uevld,Ctbp2,WT_specific
Gm40469,Ccl27b,Shared
Ociad1,AU022252,AD_specific
Nono,Kcnip4,AD_specific
Irgq,Col26a1,AD_specific
Csf3r,Ankrd55,Shared
Grin2b,Fyco1,AD_specific
LOC118568705,Gm40595,AD_specific
Nrp1,Meis2,WT_specific
Cfap99,Acap2,Shared
Syn3,Aig1,WT_specific
Zfp85,Gpr180,AD_specific
Thra,Robo2,AD_specific
Pigr,Npr3,Shared
Rasd2,Col27a1,AD_specific
Sptbn1,Htr1b,WT_specific
Slc16a6,Gm7102,Shared
Tnfrsf14,Ascc1,Shared
Gmeb1,Bend3,AD_specific
Zfp462,Vipr2,WT_specific
Parp11,Gm12569,AD_specific
Lix1,Catspere2,AD_specific
Tfg,Pde4b,AD_specific
Stau2,Ppp1r9a,Shared
Sirpa,Msantd2,WT_specific
Gpatch2l,Cdkal1,AD_specific
Tcf4,Dhrs3,AD_specific
Vps13c,Ctnnd1,WT_specific
Xiap,Anapc5,WT_specific
Gm31606,Fam13c,AD_specific
Sgsm1,Hdac8,Shared
Tmppe,Luc7l2,AD_specific
Nav2,1700029J07Rik,WT_specific
Nup93,Lingo2,WT_specific
Lrrc4c,Katnal2,AD_specific
Pou2f1,9930021J03Rik,Shared
LOC118568339,Ankrd7,AD_specific
Wnt4,Ttyh1,AD_specific
Rapgef2,Acbd6,WT_specific
Ly6g6c,AB124611,WT_specific
Zfp369,Larp1b,WT_specific
Gpr157,Cdh18,AD_specific
Scarf2,Fgf13,AD_specific
Ptpn22,Klhl32,WT_specific
Il18r1,Adarb1,WT_specific
Atf7ip,Aida,WT_specific
Gm4297,Gm10488,Shared
Zfp939,D830030K20Rik,AD_specific
Cntn3,Cmklr1,WT_specific
Negr1,Arsk,AD_specific
Nav2,Lcp2,WT_specific
Syne1,Irgm1,WT_specific
Rab2a,Luc7l2,WT_specific
Tyms,Slc10a7,Shared
Cdc42bpb,Bicral,WT_specific
Usp44,Ttll9,AD_specific
Erlec1,Epha5,WT_specific
Ppih,Abca6,AD_specific
Zbtb21,Urod,AD_specific
Rint1,Camkmt,WT_specific
Mib1,Igf1,WT_specific
Thnsl1,C330007P06Rik,AD_specific
Nip7,Kif24,AD_specific
LOC118568702,Gm10408,WT_specific
Paox,Adal,WT_specific
Ubr5,Myo5a,Shared
Zfp937,Kcnv1,AD_specific
LOC115488130,Khdrbs2,AD_specific
Nufip2,Bend4,WT_specific
Pde10a,Eif2ak2,WT_specific
Pde4b,Neto1,Shared
Gm10420,Cops7a,WT_specific
Colec12,Aig1,Shared
Zfp202,LOC115489981,Shared
Gm5798,1700049E17Rik1,WT_specific
Foxl1,2010315B03Rik,WT_specific
Snapc2,Gm21119,AD_specific
Tmod3,Mastl,AD_specific
Mertk,Alox15,WT_specific
Tab2,Kcnip4,WT_specific
Qars,Epha10,WT_specific
Pip4k2b,Cdk9,WT_specific
Odc1,Apex2,AD_specific
Zfp316,Tox3,WT_specific
Tulp2,Ankfy1,AD_specific
Usp3,Gm51591,WT_specific
Grk4,Acad9,Shared
Synj2bp,Mylk4,WT_specific
Vars,Cflar,WT_specific
Trip4,Irak2,AD_specific
Jmjd1c,4933428G20Rik,AD_specific
Kirrel3,Cnnm2,WT_specific
Sp100,Mau2,WT_specific
Prlhr,Nav3,WT_specific
Cast,Bmerb1,AD_specific
Pde4c,Cacna1e,WT_specific
Gm3173,Gm2897,WT_specific
Mtfmt,Bpnt1,AD_specific
Slc38a11,Rint1,Shared
Nasp,Ikbkg,AD_specific
Gabra2,Atp13a2,WT_specific
Ccser1,Atxn2l,WT_specific
Tprgl,Tmem69,AD_specific
Trim43b,Crebl2,AD_specific
Rnft2,Ccdc170,AD_specific
Stau2,D6Ertd527e,Shared
Tmem19,Otud5,Shared
Mrpl9,Gmeb2,WT_specific
Nkain3,Cntnap5c,Shared
Kalrn,Fxn,WT_specific
Tmem178b,Amotl1,WT_specific
Gm10461,Cdkl2,AD_specific
Gm15104,Dmd,WT_specific
Mpp7,Acnat1,Shared
Sh2d2a,Hmbox1,WT_specific
Zfp697,Tgm3,WT_specific
Glrx2,Fez2,AD_specific
Strn,Reps2,WT_specific
Gm13102,Cep170,AD_specific
Rorb,Dusp7,WT_specific
Pbld1,Agl,WT_specific
Rnf169,Mrgpra4,AD_specific
Zfp697,Ak4,Shared
Uty,Tpx2,WT_specific
