PARP15,ATRN,shared
XRCC2,ORC4,shared
ODF2L,CCDC144A,shared
TCTN1,SHISA9,shared
PARP15,DNAH12,shared
TCTN1,DTNB,shared
PHYHIPL,CFLAR,shared
L2HGDH,ENOX1,shared
MYORG,ACADSB,shared
LPP,KLRD1,shared
MYORG,LOC100130451,shared
STXBP5L,LOC100652901,shared
ORC4,OPHN1,shared
TRMT9B,L2HGDH,shared
ODF2L,FRK,shared
LPP,GSG1,shared
TOR1AIP2,FNIP2,shared
ZNF37A,GSTO2,shared
ZNF493,SLC9A4,shared
EIF4E,CFLAR,shared
PARP15,CD70,shared
SCD5,FAAH2,shared
PTPRN2,CES3,shared
USP33,STXBP5L,shared
ENTPD1,ADAM20,shared
XKR9,TRMT9B,shared
ZNF69,ESR1,shared
ODF2L,EPPIN,shared
ORC4,FGF5,shared
VWA8,ASTN2,shared
SLC9A4,LPP,shared
SLC16A7,SHISA9,shared
STXBP5L,SCD5,shared
ZNF562,ARMC9,shared
TCAF2,ODF2L,shared
TDRKH,CFLAR,shared
ARMC9,APOL4,shared
CTSC,CCDC144A,shared
ORC4,DTNB,shared
DNAH12,C12orf50,shared
SPC25,PARP15,shared
PARP15,CCDC122,shared
TOR1AIP2,GPR141,shared
ZNF493,L2HGDH,shared
XKR9,PARP15,shared
TCTN1,ORC4,shared
TOR1AIP2,GLIPR1L2,shared
FNIP2,C12orf50,shared
MS4A4E,HYAL1,shared
LPP,DNAH12,shared
ODF2L,GPR141,shared
TDRKH,GOSR1,shared
ZNF519,ADAM20,shared
SEMA4D,CES3,shared
ZNF66,RDH16,shared
ZNF66,RAB3IP,shared
FNIP2,CD70,shared
P2RY10,CFLAR,shared
ENOX1,ELMOD2,shared
RIC3,CTSC,shared
SHISA9,FGF5,shared
MYORG,ADAM20,shared
TOR1AIP2,LPP,shared
WDPCP,LPP,shared
FNIP2,DNAH12,shared
PTPRJ,PARP15,shared
ZNF69,STXBP5L,shared
ENOX1,CTSC,shared
SPC25,ABCC9,shared
TCTN1,KLRD1,shared
ZNF493,PARP15,shared
TMEM212,DNAH12,shared
XRCC2,CFLAR,shared
ORC4,L2HGDH,shared
TMEM212,CCDC144A,shared
DTNB,DNAH12,shared
TYW5,PARP15,shared
XAF1,ODF2L,shared
ZKSCAN3,DTNB,shared
MAB21L3,CTSC,shared
ZNF69,RDH16,shared
ZNF66,CTNNA3,shared
TCTN1,C12orf50,shared
ORC4,FNIP2,shared
SLC9A4,PARP15,shared
FGF5,ENOX1,shared
LOC100652901,IQCB1,shared
CFLAR,C12orf50,shared
PRKAR1A,LOC100652901,shared
OBSCN,GSTO2,shared
WDPCP,ODF2L,shared
SHISA9,OPHN1,shared
SUPT20HL2,ABCC9,shared
ZKSCAN3,TRMT9B,shared
SIRT5,ORC4,shared
WDPCP,PARP15,shared
ZKSCAN3,ABCC9,shared
PUS7L,DDHD1,shared
ZNF589,CES3,shared
INPP5A,CES3,shared
SLC37A2,CCDC92,shared
TEX9,ASTN2,shared
PARP15,FGF5,shared
SCML4,OPRM1,shared
SYN3,CASP10,shared
XRCC2,ENOX1,shared
PARP15,GLIPR1L2,shared
PARP15,ELMOD2,shared
DTNB,CD70,shared
TCAF2,KLRD1,shared
TRMT9B,DTNB,shared
SCD5,MAB21L3,shared
TMEM241,ODF2L,shared
LPP,ATRN,shared
UGT8,LPP,shared
PTPRJ,LPP,shared
SYN3,HHLA2,shared
STXBP5L,LPAR6,shared
KLHL33,ABCC9,shared
TRMT9B,FGF5,shared
SHISA9,L2HGDH,shared
ODF2L,FGF5,shared
HS6ST3,ABCC9,shared
LPP,KLHL33,shared
