Gene1,Gene2,In_OWT,In_AD,read count_WT,read count_AD,Label
Letm2,Hsd3b3,1,1,0,1,AD_specific
Zic4,Hapln3,1,0,1,0,WT_specific
Wdr20,Dlg2,1,1,1,19,Shared
Wdr33,Tmod3,1,1,3,0,WT_specific
Pitx3,Fam83b,1,1,1,0,WT_specific
Sgsm1,Insyn2a,1,1,1,0,WT_specific
Mettl8,Gpr63,1,1,1,0,WT_specific
Khdrbs2,Fam205a4,1,1,0,1,AD_specific
Slc29a2,4933428G20Rik,1,1,0,4,AD_specific
Gm21119,9930021J03Rik,1,1,360,378,Shared
Stx1b,LOC118568219,1,1,0,1,AD_specific
Zfp111,Ssbp2,1,1,0,5,AD_specific
Rab33b,H2-DMa,1,1,0,2,AD_specific
Ngf,Dhrs3,1,1,1,0,WT_specific
Slx1b,Ears2,1,1,0,1,AD_specific
Ulk3,Gm32719,1,1,4,0,WT_specific
Wdr59,Snx12,1,1,1,0,WT_specific
Iqsec1,Gmfb,1,1,1,0,WT_specific
Zfp948,Il12rb1,1,1,1,1,Shared
Zdhhc8,Slc3a2,1,1,5,1,Shared
Tbxas1,Pdcd4,1,1,1,0,WT_specific
Gm5795,Gm3264,1,1,0,2,AD_specific
Zfp202,Mprip,1,1,4,0,WT_specific
Zdhhc8,Ncor2,1,1,1,0,WT_specific
Nav2,Klf12,1,1,1,0,WT_specific
Thra,E2f1,1,1,2,11,Shared
Lrrc58,Baalc,1,1,0,1,AD_specific
Slc29a2,Fbxl17,1,1,0,1,AD_specific
Wdfy1,4933428G20Rik,1,1,1,0,WT_specific
Zfp948,Ripor2,1,1,2,0,WT_specific
Slc6a5,Scarf2,1,1,1,0,WT_specific
Gm13547,Echdc1,1,1,0,1,AD_specific
Kcnk3,Fmn2,1,0,1,0,WT_specific
Dzip1,Ctla2a,1,1,11,8,Shared
Mgat3,Cplx2,1,1,0,5,AD_specific
Nasp,Churc1,1,1,1,0,WT_specific
Lmbr1,Erbb4,1,1,1,0,WT_specific
Smg9,Ddr1,1,1,2,10,Shared
Tmem19,Atad2b,1,1,23,1,Shared
Tmppe,Ctcfl,1,1,3,0,WT_specific
Utp23,Mmd2,1,1,1,0,WT_specific
Zmynd8,Chst3,1,1,1,0,WT_specific
Slc17a8,Mettl8,1,1,1,0,WT_specific
Camk2a,Barhl1,1,1,1,0,WT_specific
Slc25a42,LOC118567871,1,1,0,1,AD_specific
Oas3,Brip1,1,1,1,0,WT_specific
Slc26a1,Dmtn,1,1,1,0,WT_specific
Syt11,Acot2,1,0,3,0,WT_specific
Kctd16,Alkbh1,1,0,1,0,WT_specific
LOC115489417,Dhx15,1,1,2,1,Shared
H2-T-ps,Gm8909,0,1,0,1,AD_specific
Slc17a8,Dnal1,1,1,1,0,WT_specific
Nbea,Khdrbs2,1,1,0,61,AD_specific
Zfp462,Slc7a2,1,1,0,1,AD_specific
Ptprd,Nipal3,1,0,1,0,WT_specific
Zfp771,Smtnl2,1,1,0,1,AD_specific
Spred2,Fam227a,1,1,1,0,WT_specific
Uros,D6Ertd527e,1,1,0,1,AD_specific
Knl1,Homez,1,1,1,0,WT_specific
Ikbip,Cybrd1,1,1,0,2,AD_specific
Pgpep1l,Mier2,1,1,0,1,AD_specific
Ulk3,Nhsl2,1,1,0,4,AD_specific
Nav2,Il7r,1,1,0,2,AD_specific
Scfd2,Hcrtr1,1,1,1,0,WT_specific
Nipal2,Abhd6,1,1,16,9,Shared
Pag1,Gemin2,0,1,0,2,AD_specific
Trip4,Jmjd1c,1,1,22,0,WT_specific
Pag1,4930563E22Rik,1,0,2,0,WT_specific
Wdfy2,LOC118568639,1,0,9,0,WT_specific
Gm52229,B4galt6,1,1,1,0,WT_specific
Intu,Colec12,1,1,2,1,Shared
Rint1,Hs2st1,1,1,0,1,AD_specific
Rdh1,Abca8b,1,1,0,3,AD_specific
LOC118568593,Ctbp2,1,1,0,7,AD_specific
Tenm3,Pou2f1,1,1,93,159,Shared
Mdm2,Chmp3,1,1,0,1,AD_specific
Pfkfb3,Abi3,1,1,1,0,WT_specific
Sfi1,Atp11a,1,1,2,0,WT_specific
Negr1,Acad9,1,1,4,0,WT_specific
Tmem69,Mpv17,1,1,0,1,AD_specific
Smco1,Htr1d,1,1,1,0,WT_specific
Timm23,Pou2f1,0,1,0,2,AD_specific
Zfp976,Micu3,1,1,0,1,AD_specific
Tacr1,Ate1,1,1,0,1,AD_specific
Msantd2,Chd1l,1,1,1,0,WT_specific
Wdr20,Cdc123,1,1,47,8,Shared
Syn3,Ctsc,1,1,1,0,WT_specific
Trpm3,Prr5,1,1,1,0,WT_specific
Washc1,Acap2,1,1,1,0,WT_specific
Hdac8,Dnah7b,1,1,4,0,WT_specific
Ppp1r16b,Pgap2,1,1,1,0,WT_specific
Ptgfrn,Cntnap5c,1,1,4,8,Shared
Zbtb1,Mtmr9,1,1,0,4,AD_specific
Ces2b,Aim2,1,1,0,7,AD_specific
Tfap2d,Exosc2,1,1,0,1,AD_specific
Zc3h14,Gm46629,1,1,1,0,WT_specific
Col22a1,Ces2b,1,1,8,0,WT_specific
Rreb1,Phactr1,1,0,1,0,WT_specific
Zfp558,Apol7e,1,1,1,14,Shared
Slc23a1,Pde10a,1,0,1,0,WT_specific
Nhsl2,Ak4,1,1,32,25,Shared
Tuba1b,Mgat3,1,1,2,1,Shared
Zfyve9,Osbpl10,1,1,1,1,Shared
Lrrc7,Gpr149,1,0,1,0,WT_specific
Mitf,Gm11686,1,1,1,0,WT_specific
Kat6b,Cep63,1,1,2,0,WT_specific
Xpo7,LOC118567871,1,1,9,0,WT_specific
Stag1,Fgf14,1,1,16,20,Shared
Tmem234,Mlph,1,1,0,1,AD_specific
Zkscan2,Slx1b,1,1,0,1,AD_specific
Lonrf2,Cbl,1,1,1,0,WT_specific
Ttll1,Gm46650,1,1,1,0,WT_specific
Tyms,Stk3,1,1,24,22,Shared
Spdef,Rpp40,1,1,4,0,WT_specific
Snx12,Nrp2,1,1,4,2,Shared
Taf1a,Acap2,1,1,0,1,AD_specific
Tmem69,Tmem255b,1,1,1,0,WT_specific
Prss42,Hinfp,1,0,1,0,WT_specific
Deaf1,4930519G04Rik,1,1,0,1,AD_specific
Parp2,Itsn1,1,1,0,1,AD_specific
Socs4,Kcnh7,1,1,4,0,WT_specific
Mcmdc2,Kcnh7,1,1,15,44,Shared
Marchf1,Il2ra,1,1,3,0,WT_specific
Gria3,Cdh18,1,1,0,4,AD_specific
Wdfy2,Upb1,1,1,1,0,WT_specific
Wdfy3,C330007P06Rik,1,1,0,1,AD_specific
Tcf4,Cd300lf,1,1,2,0,WT_specific
Zfp839,Tmem45b,1,1,9,0,WT_specific
St3gal5,Pyurf,1,0,2,0,WT_specific
Stox2,Gcm1,1,1,0,1,AD_specific
Klhl5,Gda,1,1,1,0,WT_specific
Lyrm9,Ap4s1,1,1,0,1,AD_specific
Zbtb8os,D6Ertd527e,1,1,5,20,Shared
Thnsl1,St6galnac3,1,1,0,4,AD_specific
Zfp839,Trip4,1,1,1,0,WT_specific
Ppp1r9a,Chmp3,1,1,0,2,AD_specific
Rora,Pacs2,1,1,1,0,WT_specific
Rora,Agl,1,1,1,0,WT_specific
Zfhx3,Hexim2,1,1,1,0,WT_specific
Tlcd5,Olfr279,1,1,3,0,WT_specific
St3gal1,Plxdc2,1,1,1,0,WT_specific
Fgf14,Crip3,1,1,13,28,Shared
Gabra2,BC051019,1,1,0,1,AD_specific
Meis1,Lmo3,1,1,1,0,WT_specific
Nr2e1,Arhgef12,1,1,1,0,WT_specific
