Gene1,Gene2,In_OWT,In_AD,read count_WT,read count_AD,Label
Ccdc127,Acbd6,1,1,0,1,AD_specific
LOC118568311,LOC118568300,1,1,2,4,Shared
Sirt4,Senp7,1,1,0,9,AD_specific
Sec61g,Fanci,1,1,4,0,WT_specific
Tfap2b,Lonrf2,1,1,0,2,AD_specific
Tor4a,Tcf7l1,1,1,1,0,WT_specific
Angel1,1700001F09Rik,1,1,1,0,WT_specific
Scaf11,Foxj3,1,1,0,4,AD_specific
Mpv17,Clns1a,1,1,0,1,AD_specific
Zfp53,Elof1,1,1,1,0,WT_specific
Rexo5,Cyp3a13,1,1,0,29,AD_specific
Opcml,Cwf19l2,1,1,0,9,AD_specific
Stac,Ppp4r1,1,1,1,0,WT_specific
Cdh2,Cd22,1,1,1,0,WT_specific
Ptgfrn,Cdc25b,0,1,0,1,AD_specific
Zbtb8os,Efcc1,1,1,0,2,AD_specific
Pigv,Nfkb2,1,1,0,2,AD_specific
Gosr2,Csta1,1,1,1,0,WT_specific
Klhl3,Ap4s1,1,1,0,1,AD_specific
LOC100862180,Intu,1,0,1,0,WT_specific
Slc41a2,Rimklb,1,1,1,0,WT_specific
Nav3,Bend4,1,1,1,0,WT_specific
Tnfrsf10b,Tcp11l1,1,1,6,5,Shared
Stag1,Pla2g2d,1,1,1,0,WT_specific
Rasd2,Lzic,1,1,1,0,WT_specific
Luc7l2,Cbll1,1,1,4,0,WT_specific
Stxbp4,Gmpr2,1,1,9,0,WT_specific
Sox6,Fbxl17,1,1,2,0,WT_specific
Morn1,Alx4,1,1,0,1,AD_specific
Il2ra,2210408I21Rik,1,1,2,0,WT_specific
Vmn1r65,Itga4,1,1,0,3,AD_specific
Zfp831,Lrrc61,1,1,2,0,WT_specific
Mdc1,Cetn3,1,1,1,0,WT_specific
Prkcb,Chst15,1,0,1,0,WT_specific
St8sia3,Pnoc,1,0,1,0,WT_specific
Mbd4,Gm29776,1,1,2,5,Shared
Zfp300,Tcp11l1,1,1,4,0,WT_specific
Tmem65,Csrnp3,1,0,1,0,WT_specific
Cdkl2,Ccnl2,1,1,0,3,AD_specific
Mef2c,Cpox,1,1,6,1,Shared
Tmco1,LOC118567551,1,1,1,0,WT_specific
Med16,Cyp20a1,1,1,1,0,WT_specific
Nhsl2,D16Ertd472e,1,0,1,0,WT_specific
Wdfy1,LOC118568219,1,1,3,0,WT_specific
Nbea,Gm21119,1,1,333,389,Shared
Sec23ip,Atp9a,1,1,0,2,AD_specific
Paox,Gabra6,1,1,11,0,WT_specific
Nbn,Lrp1,1,1,1,0,WT_specific
H2-Q6,Gm13547,1,1,3,0,WT_specific
Lrrc4c,Cwf19l2,1,1,2,2,Shared
Mrtfb,Mrpl35,1,1,0,1,AD_specific
Tmed8,C1ra,1,1,1,0,WT_specific
Trim9,Hdac8,1,1,29,38,Shared
Fgf14,Atf7ip,1,1,5,0,WT_specific
Zfp839,Golga4,1,1,1,0,WT_specific
Maml2,Gm7972,1,1,1,0,WT_specific
Kcnh7,Grip1,1,1,0,171,AD_specific
Cwc25,Caln1,1,1,1,0,WT_specific
Myo10,Gm16867,1,1,0,1,AD_specific
Lrrc75a,Gcdh,1,0,1,0,WT_specific
Sass6,Cybrd1,1,1,0,1,AD_specific
Pde10a,H2-Q4,1,1,6,0,WT_specific
Nhsl2,LOC115489981,1,1,55,0,WT_specific
Ntrk3,Naca,1,1,0,1,AD_specific
Ttll9,Szt2,1,1,7,0,WT_specific
Miga1,Grip1,1,1,12,0,WT_specific
Csrp3,Crb1,1,1,0,1,AD_specific
Zfp970,Spopl,1,1,28,40,Shared
Lrrc7,Fgf14,1,1,0,35,AD_specific
Ccl27b,Ccdc43,1,1,7,0,WT_specific
Gm4724,Gm14421,1,1,0,1,AD_specific
Smyd3,Rexo5,1,1,1,0,WT_specific
Septin2,Gm20736,1,0,1,0,WT_specific
Unc5d,Poglut3,1,0,1,0,WT_specific
Tfap2d,Pcnx4,1,1,18,25,Shared
Snx12,Ankrd33b,1,1,0,1,AD_specific
Grip1,Celf4,1,1,9,0,WT_specific
Npas3,Lpl,1,1,2,2,Shared
Pde4d,Mrps24,1,0,1,0,WT_specific
Zfp248,Crispld1,1,1,1,0,WT_specific
Ryr2,Kcnj10,1,1,0,3,AD_specific
Rngtt,Cyp20a1,1,1,1,0,WT_specific
Zbtb25,Caap1,1,0,1,0,WT_specific
Wdcp,Polb,1,1,3,0,WT_specific
Zfp248,Cbl,1,1,55,1,Shared
Osbpl10,Crb1,1,1,1,0,WT_specific
Lepr,Endov,1,1,1,0,WT_specific
Zfp991,Celf2,1,1,0,30,AD_specific
Myl4,Ermard,1,1,1,0,WT_specific
Zfp407,Hsph1,1,1,0,1,AD_specific
Rpp40,Dcun1d5,1,1,1,0,WT_specific
Ppp1r9a,4930430F08Rik,1,1,2,0,WT_specific
Zfp948,Zc3hav1,1,1,0,1,AD_specific
Zkscan7,Ptafr,1,1,0,1,AD_specific
Brip1,AW554918,1,1,15,2,Shared
Snapc3,Rhbdd2,1,1,0,4,AD_specific
Parp12,Fscn3,0,1,0,1,AD_specific
Pan3,Camk4,1,1,1,0,WT_specific
Zfp771,Sfxn2,1,1,1,0,WT_specific
Kcng3,B4galnt2,1,1,0,4,AD_specific
Pou2f1,Cenpc1,1,1,291,373,Shared
Zkscan2,Gm3739,1,1,1,0,WT_specific
Kif5b,Galnt11,1,1,0,5,AD_specific
Hoxc9,Dvl3,1,1,0,1,AD_specific
Zfp939,Xrcc6,1,1,0,2,AD_specific
Slc16a8,Chchd3,1,1,2,0,WT_specific
Gm41607,Eif2s3y,1,1,0,4,AD_specific
Zfp248,Sp100,1,1,1,0,WT_specific
Rpusd1,Rint1,1,1,0,1,AD_specific
Traf2,Thap12,0,1,0,16,AD_specific
Mad1l1,Lrrc61,1,1,0,1,AD_specific
Zfp939,Kcnq5,1,1,1,0,WT_specific
Usp3,Prdx5,0,1,0,1,AD_specific
Zscan2,Camk4,1,1,1,0,WT_specific
Prr11,Gm52229,1,1,1,0,WT_specific
Kcnq5,Cplx3,1,0,2,0,WT_specific
Zmat3,Mef2c,1,1,0,4,AD_specific
Slc1a6,LOC118568219,1,1,1,0,WT_specific
Kirrel,9930021J03Rik,1,1,5,8,Shared
Trat1,Fgf14,1,1,15,0,WT_specific
Mrpl4,Lrrc4c,1,1,2,0,WT_specific
Gm38418,Gm10406,1,1,1,25,Shared
Ociad1,Ankrd10,1,1,0,1,AD_specific
Psma3,Ppm1h,1,1,0,1,AD_specific
Wnt4,Pcsk5,1,1,3,0,WT_specific
Wnt4,Tmem35a,1,0,1,0,WT_specific
Ptprb,Pacsin2,1,1,1,0,WT_specific
Tenm2,Six2,1,1,1,0,WT_specific
Trmt10a,Slc35e2,1,1,0,1,AD_specific
Pi15,Gm52817,1,1,1,0,WT_specific
Thra,Dcaf1,1,1,64,420,Shared
Il7r,Cacng2,1,1,0,1,AD_specific
Tyms,Stxbp4,1,1,71,115,Shared
Rfx4,Fnip2,1,1,0,1,AD_specific
Vash1,Pou2f2,1,1,0,1,AD_specific
Zfp536,Fmn2,1,1,1,0,WT_specific
Mdga2,Caap1,1,0,1,0,WT_specific
Nipal4,Chst3,1,0,1,0,WT_specific
Gm4791,Epha6,1,1,1,11,Shared
Rreb1,Gm52229,1,0,1,0,WT_specific
Slc25a42,Rora,1,1,4,4,Shared
Pik3c3,Nipal2,1,1,9,8,Shared
Ppargc1b,Kcng3,1,0,1,0,WT_specific
LOC115488029,Gm39743,1,1,5,0,WT_specific
Ppargc1a,Folh1,1,1,0,1,AD_specific
Hnrnpd,Dynlt1a,1,1,0,1,AD_specific
LOC118568705,Gm46290,1,1,3,17,Shared
Kirrel,Il5ra,1,1,0,2,AD_specific
Mcm9,Gje1,1,1,0,1,AD_specific
Slc39a8,Mafg,1,1,0,1,AD_specific
Vps35l,Adat1,1,1,0,2,AD_specific
Cert1,Atr,1,1,2,1,Shared
Mcmdc2,Aim2,1,1,0,32,AD_specific
Zfp202,Gabra6,1,1,0,3,AD_specific
Thy1,App,0,1,0,54,AD_specific
Kcnq5,Gm6958,1,1,0,1,AD_specific
Zfp939,Il12rb2,1,1,0,1,AD_specific
Rbm28,Numb,1,1,1,2,Shared
Rora,Aatk,1,0,1,0,WT_specific
Ripk1,Gm4841,1,1,6,0,WT_specific
Gm40275,Gm17434,0,1,0,1,AD_specific
Syne1,Pole4,1,1,135,89,Shared
Gm3512,Gm3252,1,1,1,4,Shared
Stox2,Bckdk,1,1,1,0,WT_specific
Tom1l2,Psmb11,1,1,3,0,WT_specific
Zfp709,Ank3,1,0,41,0,WT_specific
Zfp933,Acbd6,1,1,0,1,AD_specific
Slc41a2,Arhgap21,1,1,1,0,WT_specific
Hnrnpd,Dyrk1b,1,1,10,12,Shared
Zfp948,Zeb1,1,1,1,0,WT_specific
Stard7,Sap130,1,1,0,1,AD_specific
Trpm7,Strbp,1,1,3,0,WT_specific
Otud7b,Mcm9,1,1,1,0,WT_specific
Gfod2,Dzip1,1,1,2,0,WT_specific
Pam,Cgnl1,1,0,1,0,WT_specific
Nhsl2,LOC115489417,1,1,1165,1990,Shared
Gabpb1,Ccdc88c,0,1,0,1,AD_specific
Slc25a42,Lingo2,1,1,1,3,Shared
Zfp318,Dcdc2a,1,0,1,0,WT_specific
Nwd2,Abca6,1,1,0,4,AD_specific
Trio,Dtnb,1,1,1,0,WT_specific
Slc12a9,Psmc3ip,1,1,1,0,WT_specific
Pcsk5,Blvra,1,1,0,1,AD_specific
Zbtb1,Stox2,1,1,0,1,AD_specific
Flywch1,Comt,1,1,1,0,WT_specific
Pon3,Erbb4,1,1,69,26,Shared
Rhox8,Ppp2r2b,1,1,2,2,Shared
Stox2,Hlcs,1,1,0,1,AD_specific
Grip1,Gabra2,1,1,19,8,Shared
Ulk3,Elob,1,1,0,4,AD_specific
Zbtb8os,Slc35a1,1,1,26,0,WT_specific
Erbb4,Casc1,1,1,0,11,AD_specific
Otud7a,Lrp1b,1,1,5,6,Shared
Rsrc1,Crisp4,1,1,0,2,AD_specific
Zfp277,Ermard,1,1,10,0,WT_specific
Zscan26,Hells,1,1,0,1,AD_specific
Tuba8,Nup50,1,1,1,0,WT_specific
Fbxl17,Arih2,1,1,0,11,AD_specific
Pigm,Clec2i,1,1,0,1,AD_specific
Tuba1b,Tmem106c,1,1,1,0,WT_specific
Tprkb,Samd12,1,1,2,0,WT_specific
Rab30,Gmfb,1,1,1,2,Shared
Lingo2,Fan1,1,1,0,2,AD_specific
St8sia1,Kcnh7,1,1,37,47,Shared
Tex14,Letmd1,1,0,1,0,WT_specific
Zfp937,Gm31255,1,1,0,2,AD_specific
Pik3r5,Ikzf4,1,1,0,1,AD_specific
Tcf7l1,Bloc1s2,1,1,1,2,Shared
Stxbp4,Klhl41,1,1,0,3,AD_specific
Klhl32,Gna11,1,0,2,0,WT_specific
Srgap3,Rabgap1l,1,1,0,6,AD_specific
Dph5,Ankrd55,1,1,2,0,WT_specific
Mbd4,3830406C13Rik,1,1,25,0,WT_specific
Usp6nl,Ldah,1,1,3,0,WT_specific
Tedc1,Slc38a6,1,1,1,0,WT_specific
Pole4,H2-Q6,1,1,0,3,AD_specific
Xpnpep2,Robo2,1,1,2,0,WT_specific
Wdr33,Apex2,1,1,1,0,WT_specific
Ripor2,Ptpn12,1,1,0,1,AD_specific
Ifnar1,Ash2l,1,1,0,2,AD_specific
Zfand4,Mfsd4a,1,1,1,1,Shared
Ttc39b,St3gal4,1,1,3,20,Shared
Zbtb8b,Olfr1033,1,1,9,3,Shared
Fmn2,Adat1,1,1,1,0,WT_specific
Phf21a,Nip7,1,1,0,8,AD_specific
Gm31606,Erbb4,1,1,8,0,WT_specific
Kcnh7,Cyp3a13,1,1,0,66,AD_specific
Zfp369,Gm10406,1,1,23,83,Shared
LOC102634529,Clec16a,1,1,7,0,WT_specific
Ppm1h,Ppargc1a,1,1,1,0,WT_specific
Zfp462,Nup50,1,1,1,0,WT_specific
Pld5,Asxl3,1,1,2,0,WT_specific
Stxbp6,Rtkn2,1,1,1,0,WT_specific
Fam205a4,Cdkl2,1,1,0,1,AD_specific
Gramd4,Fxyd1,1,1,1,0,WT_specific
Usp17la,Foxp1,1,1,7,7,Shared
Sox5,Gm7609,1,1,2,0,WT_specific
Tmem241,Ptp4a3,1,1,0,4,AD_specific
Iars2,Cradd,1,1,5,9,Shared
Sox5,Rgs22,1,1,0,2,AD_specific
Wdfy3,Ntrk3,1,1,1,0,WT_specific
Zfp202,Tprgl,1,1,0,1,AD_specific
Gpr174,Cdh18,1,1,1,2,Shared
Ttll9,Gnat3,1,1,1,16,Shared
Rfxank,Med16,1,1,1,0,WT_specific
Prkag3,Ap1s3,1,1,0,1,AD_specific
Olfr224,H2-DMa,1,1,1,0,WT_specific
P4ha3,Lonrf1,1,0,3,0,WT_specific
LOC118568632,LOC118568343,1,1,3,4,Shared
Ripor1,Casc1,1,1,0,1,AD_specific
Smarcad1,Gm16513,1,1,0,1,AD_specific
Mns1,Fgf8,1,0,2,0,WT_specific
Npr3,Lrrc7,1,1,27,30,Shared
Gm10408,D830030K20Rik,1,1,0,10,AD_specific
Sox6,Plppr4,1,1,0,1,AD_specific
Ifnar1,Fam169a,1,1,2,0,WT_specific
Spg21,Slc3a2,1,1,1,0,WT_specific
Gm3159,Gm10408,1,1,1,0,WT_specific
Nipal2,Adarb2,1,1,0,2,AD_specific
Kcnj2,Csmd3,1,0,3,0,WT_specific
Lrrc58,Dedd,1,1,0,2,AD_specific
Zbtb20,Gpc4,1,1,0,1,AD_specific
Zfp26,Klhl32,1,1,0,1,AD_specific
Zfp202,Cracr2a,1,1,4,6,Shared
Uros,Tasor,1,1,0,4,AD_specific
Wdfy1,Trip11,1,1,0,2,AD_specific
Zfp939,Itgam,1,1,1,0,WT_specific
Miga1,4933428G20Rik,1,1,6,0,WT_specific
Asxl2,Anxa9,1,1,2,0,WT_specific
Ulk3,Prkn,1,1,0,1,AD_specific
Rheb,Nhsl1,1,1,0,1,AD_specific
Smarca5,Rab33b,0,1,0,3,AD_specific
Tmco1,Hoxc9,1,1,1,0,WT_specific
Zfp202,Cep97,1,1,0,1,AD_specific
Strbp,Rnasel,1,1,2,0,WT_specific
Ubap2l,Dedd,1,0,1,0,WT_specific
Vmn1r259,Vmn1r118,1,0,1,0,WT_specific
Ubb,Kalrn,1,0,1,0,WT_specific
Tbccd1,Gm8290,1,1,0,2,AD_specific
Cdkl3,Btbd19,1,1,0,23,AD_specific
Riok2,Appl2,1,1,0,1,AD_specific
Usp17la,Chl1,1,1,1,0,WT_specific
Zdhhc21,Plscr3,1,1,14,16,Shared
Gm38699,Gm10476,1,1,0,65,AD_specific
Mrpl39,4930519L02Rik,1,1,0,4,AD_specific
Tyms,Slitrk4,1,1,0,4,AD_specific
Xlr3b,Syne1,0,1,0,3,AD_specific
Sgk3,Btbd9,1,1,0,1,AD_specific
Ppp2r2b,Btbd19,1,1,2,0,WT_specific
Mfsd4b5,Bloc1s3,1,1,0,1,AD_specific
Tmem19,Lamc3,1,1,0,3,AD_specific
Wdr20,Ly86,1,1,8,1,Shared
Zfp583,Poglut3,1,1,1,0,WT_specific
Tmem241,Ccdc148,1,1,0,1,AD_specific
Exoc6b,Barhl1,1,1,0,1,AD_specific
Ppp2r2b,Cdh7,1,1,0,4,AD_specific
Dhrs7b,Ap4s1,1,1,1,0,WT_specific
Dgki,Ces2f,1,1,7,6,Shared
Ulk3,Rgs7bp,1,1,9,6,Shared
St3gal4,Armc7,1,1,0,1,AD_specific
Snupn,Gm7972,1,1,3,0,WT_specific
Uros,Ccdc170,1,1,1,0,WT_specific
Gm2897,E2f3,1,1,0,1,AD_specific
Tex9,9030025P20Rik,1,1,0,1,AD_specific
Ppp2r2b,Fxn,1,1,0,1,AD_specific
Rassf5,Eif2d,1,1,12,1,Shared
Nfasc,Lzts1,1,0,1,0,WT_specific
Sox6,Armc8,1,0,2,0,WT_specific
Tyms,Chchd3,1,1,90,74,Shared
Impg2,H2-Q4,1,1,9,21,Shared
Dmtn,Cybrd1,1,1,0,2,AD_specific
Wnt4,Fam76b,1,1,0,1,AD_specific
Xcr1,Tnfrsf14,1,1,0,7,AD_specific
Zfp697,Plcb1,1,1,6,0,WT_specific
Gjc3,Chd9,1,1,3,0,WT_specific
Fabp5,Erlec1,1,1,0,1,AD_specific
Zic1,Fmn2,1,1,0,1,AD_specific
Scn2b,B4galt6,1,1,0,2,AD_specific
Zbtb1,Tenm2,1,1,3,2,Shared
Xpo4,Ankrd33b,1,1,0,1,AD_specific
Rexo5,Foxp1,1,1,108,253,Shared
Rimklb,Atp11a,1,1,1,0,WT_specific
Txnl4a,Ccdc43,1,1,2,0,WT_specific
Hddc2,Fan1,1,1,0,1,AD_specific
Zfp729a,Gm4565,1,1,1,0,WT_specific
Msantd2,Grip1,1,1,18,0,WT_specific
Tyms,Pde10a,1,1,80,64,Shared
Gcdh,Gabra2,1,1,1,0,WT_specific
Six3,Gpr174,1,0,1,0,WT_specific
Tuba1b,Tshz3,1,1,2,1,Shared
Kcnd2,Gpatch2,1,1,4,0,WT_specific
Poglut3,Lhx5,1,1,1,0,WT_specific
Nlrc3,Jmjd1c,1,1,0,4,AD_specific
Fmn2,Epha10,1,1,0,1,AD_specific
Zfp287,Phf24,1,1,1,0,WT_specific
Tox3,Ankrd33b,1,1,1,0,WT_specific
Echdc1,Ccdc144b,1,1,11,21,Shared
Dyrk1b,Acbd6,1,1,0,2,AD_specific
Mrto4-ps2,Casc1,1,1,1,0,WT_specific
Zfp563,Dhx37,1,1,0,6,AD_specific
St3gal5,Cox5a,1,1,1,0,WT_specific
Sox6,Gfra2,1,1,1,0,WT_specific
Sp100,Hes7,1,1,0,1,AD_specific
Tmsb4x,Akap7,1,1,0,1,AD_specific
Maml2,Gcnt1,1,1,0,1,AD_specific
Ssbp2,Atad2,1,1,0,1,AD_specific
Tlr7,H2-Q4,1,1,16,6,Shared
Golm2,Acyp1,1,1,0,1,AD_specific
Zbtb1,Nedd4l,1,1,1,0,WT_specific
Nckap5,Kcnq5,1,1,11,2,Shared
Slc38a11,LOC115488470,1,1,1,1,Shared
Nrros,Abcc10,1,1,1,0,WT_specific
Rab30,D17H6S53E,1,1,1,0,WT_specific
Heatr6,Btg1,1,0,4,0,WT_specific
Mrpl4,Hip1,1,1,0,2,AD_specific
Zfp583,Pibf1,1,1,1,0,WT_specific
Lrp1b,Fam81a,1,1,2,1,Shared
Usp3,Mrpl19,1,1,1,2,Shared
Pcnx4,Fuca1,1,1,0,1,AD_specific
Zfp300,Fbxl17,1,1,0,6,AD_specific
Washc4,Ddr1,1,1,0,34,AD_specific
Wdr37,Fat2,1,1,0,12,AD_specific
Xrcc3,Fyco1,1,1,0,1,AD_specific
Wnt4,Atad2,1,1,0,13,AD_specific
Styxl1,Ap4s1,1,1,1,0,WT_specific
Srpk2,Cab39,1,1,4,12,Shared
Mrtfb,Hacd2,1,1,0,1,AD_specific
Tpmt,Clpb,1,1,0,1,AD_specific
Zdhhc9,Map2k6,1,1,1,0,WT_specific
Plod2,Letm2,1,1,0,1,AD_specific
Zfp111,Epha5,1,1,0,1,AD_specific
Ldlrad4,Exd1,1,1,0,1,AD_specific
Zfp831,Lrrc7,1,1,1,0,WT_specific
Pcgf2,Ankle1,1,0,1,0,WT_specific
Gxylt2,Efcab14,1,0,1,0,WT_specific
Tab2,Gpc4,1,1,0,1,AD_specific
Zfp839,Pag1,1,1,2,0,WT_specific
Trp53i11,Acot2,1,0,1,0,WT_specific
Acap2,AW554918,1,1,0,9,AD_specific
Fgf13,Alx4,1,1,2,8,Shared
Tmem8b,Nfia,1,1,1,0,WT_specific
Wdr20,Gm5431,1,1,0,1,AD_specific
Nars2,Armcx1,1,1,0,2,AD_specific
Nkx2-1,1810020O05Rik,1,1,0,1,AD_specific
Sema6d,Mad1l1,1,1,2,0,WT_specific
Vmn1r157,Vmn1r148,1,1,2,0,WT_specific
Flywch1,Aspm,1,1,0,2,AD_specific
Eef2kmt,Cyrib,1,1,1,0,WT_specific
Uevld,Frs2,1,1,1,0,WT_specific
Foxp1,Abhd6,1,1,10,8,Shared
Utp23,Aig1,1,1,0,1,AD_specific
Vipr2,Mettl2,1,1,1,0,WT_specific
Vmn1r132,Gm16451,1,1,2,2,Shared
Osbpl10,Arid5b,1,1,1,0,WT_specific
Rora,Kcnj16,1,1,2,0,WT_specific
Strn3,Stap2,1,1,6,0,WT_specific
Micu3,Chd9,1,1,3,2,Shared
Xpo4,Gm52229,1,1,3,0,WT_specific
Rngtt,Ap4s1,1,1,9,0,WT_specific
Htr1d,Ap4s1,1,1,0,1,AD_specific
Eepd1,Crppa,1,1,76,112,Shared
Pik3c3,Abhd6,1,1,4,4,Shared
Zfp462,Dcaf17,1,1,1,0,WT_specific
Ly75,Luc7l2,0,1,0,1,AD_specific
Lmbr1,Cracr2a,1,1,1,1,Shared
Disp3,Dcx,1,0,5,0,WT_specific
Slc16a8,Chrnb3,1,1,0,2,AD_specific
Casc1,BC034090,1,1,0,7,AD_specific
Rint1,Gpr174,1,1,0,1,AD_specific
Exosc7,Ankrd55,1,1,1,0,WT_specific
Tmem151b,Mfsd6,1,0,1,0,WT_specific
Xiap,Tfcp2l1,1,1,1,0,WT_specific
Zfp786,Gfod2,1,1,0,1,AD_specific
Spin1,AW554918,1,1,2,0,WT_specific
Slc29a2,Nfkb2,1,1,0,5,AD_specific
Nbea,Apex2,1,1,40,0,WT_specific
LOC118567505,Bcas2,1,1,0,1,AD_specific
Stag1,Ap4s1,1,1,0,18,AD_specific
Syne1,AU022252,1,1,6,0,WT_specific
Mcc,Efcc1,1,1,0,2,AD_specific
Wwox,Hid1,1,1,0,3,AD_specific
Grk1,Ctla2a,1,1,7,0,WT_specific
Wdfy3,Rprd2,1,0,1,0,WT_specific
Gm46345,Cfap100,1,1,1,0,WT_specific
Trim27,Pigv,1,1,0,1,AD_specific
Triobp,Gm7972,1,1,1,4,Shared
Inpp1,Acer1,1,1,1,0,WT_specific
Tafa5,Ncam1,1,1,5,0,WT_specific
Ralgapa2,Il17ra,1,1,2,1,Shared
Mga,Foxn2,1,1,0,2,AD_specific
Olfr976,Hexdc,1,1,0,1,AD_specific
Tanc2,H2-DMa,1,1,0,1,AD_specific
Zfp939,Ap1s3,1,1,8,0,WT_specific
Plscr3,Hecw1,1,1,4,1,Shared
Ubap1l,Dlec1,1,1,1,0,WT_specific
Tnfrsf14,Anxa9,1,1,3,6,Shared
Zfp65,Mettl6,1,1,2,0,WT_specific
Lpp,Lims1,1,1,0,9,AD_specific
Zfyve28,Zfp950,1,1,0,2,AD_specific
Zbtb20,Slc25a42,1,1,0,1,AD_specific
Gm3512,Apobec3,1,1,0,1,AD_specific
Ntrk3,Kif26a,1,0,1,0,WT_specific
Pou1f1,Gxylt2,1,1,3,0,WT_specific
Zfp277,Senp7,1,1,3,11,Shared
Gm31513,Cdh7,1,0,1,0,WT_specific
Dop1b,Acox3,1,0,1,0,WT_specific
Tprkb,Hells,1,1,0,1,AD_specific
Serpina1a,Rapgefl1,1,1,0,1,AD_specific
Egflam,Cdc23,1,1,0,2,AD_specific
Xpnpep1,LOC118568634,1,1,0,2,AD_specific
Rnf150,Etv1,1,1,1,1,Shared
Sumf2,Rpl37a,1,1,2,0,WT_specific
Epha10,Ctcf,1,1,2,0,WT_specific
Alkbh8,Adgra1,1,0,4,0,WT_specific
Rims2,Hoxb9,1,0,1,0,WT_specific
Nwd2,Gm31606,1,1,10,12,Shared
Trpm3,Nckap5,1,1,1,0,WT_specific
Sox6,Hmgcll1,1,1,4,4,Shared
Slitrk4,Lonrf2,1,1,0,2,AD_specific
Pigm,Dlgap4,1,1,0,1,AD_specific
Tlr7,Nkain3,1,1,3,5,Shared
Negr1,Gsap,1,1,12,0,WT_specific
Cenpo,Adcy3,0,1,0,9,AD_specific
Brip1,Atp11a,1,1,0,1,AD_specific
Kcnj10,Cyrib,1,1,1,0,WT_specific
Ubn2,Gm13305,1,0,1,0,WT_specific
Pirt,Cd3d,1,1,2,0,WT_specific
Spc24,Agbl3,1,1,0,2,AD_specific
Dcun1d5,Cd200r3,1,1,0,1,AD_specific
Triobp,Nfat5,1,1,1,0,WT_specific
Plekhg3,Alk,1,0,1,0,WT_specific
Klhl32,Flywch1,1,1,4,0,WT_specific
Mef2c,Gin1,1,1,4,0,WT_specific
Vps35l,Unc5b,1,0,2,0,WT_specific
Zfp771,Wdfy1,1,1,3,0,WT_specific
Stox2,Lman2l,1,1,1,0,WT_specific
Tssk3,Fam229a,1,1,1,4,Shared
Ttf1,Tmem69,1,1,0,1,AD_specific
Tfap2d,H2-T24,1,1,5,1,Shared
Coq8b,Abhd6,1,1,0,2,AD_specific
Zfp970,Hddc3,1,1,4,3,Shared
Tmem167,Senp7,1,1,1,2,Shared
Tcaim,Pigv,1,1,1,0,WT_specific
Trmt13,Slc3a2,1,1,1,0,WT_specific
Tshz2,Srek1,1,1,1,0,WT_specific
Tbc1d22a,Ptov1,1,1,0,1,AD_specific
Stoml3,Kcnip4,1,1,3,0,WT_specific
Zfyve28,Unc13b,1,1,1,3,Shared
Naca,Gm52217,1,1,0,1,AD_specific
Zscan25,Hmbox1,1,0,1,0,WT_specific
Npas4,Il31ra,1,1,1,0,WT_specific
Syt11,Man2a2,1,1,1,0,WT_specific
Nfat5,B4galnt2,1,1,1,0,WT_specific
Tmcc2,Repin1,1,0,1,0,WT_specific
Tafa5,Chek1,1,0,1,0,WT_specific
Zfp939,Npas3,1,1,12,35,Shared
Utp11,Parp16,0,1,0,4,AD_specific
Pacs2,Akap6,1,0,1,0,WT_specific
Trat1,Kcnip4,1,1,7,0,WT_specific
Maml2,LOC115488671,1,1,1,0,WT_specific
Galc,Arhgef37,1,1,3,7,Shared
Zfp994,Gm7072,1,1,0,5,AD_specific
Tfap2d,Klk14,1,1,0,2,AD_specific
Nat8f7,Gm52229,1,1,0,1,AD_specific
Nbea,LOC115489981,1,1,742,1017,Shared
Msantd2,Csf2ra,1,1,2,0,WT_specific
Zkscan2,Crppa,1,1,0,19,AD_specific
Slc3a2,Cast,1,1,0,1,AD_specific
Zfp85,Triobp,1,1,0,1,AD_specific
Hspb11,Agbl3,1,1,0,1,AD_specific
LOC118568593,Ccdc60,1,1,2,0,WT_specific
Ash1l,Abcc5,1,0,2,0,WT_specific
D3Ertd751e,Apex2,1,1,0,2,AD_specific
Trmt13,Ptprs,1,1,2,10,Shared
Zfp939,Mtmr9,1,1,9,65,Shared
Fyn,Ankrd33b,1,1,19,28,Shared
Tfeb,Morn1,1,1,1,0,WT_specific
Skint7,Poc1a,1,0,1,0,WT_specific
Klhl35,Cxcr2,1,1,1,0,WT_specific
Rspry1,Cpsf2,1,1,0,1,AD_specific
Tuba1b,Acnat1,1,1,0,1,AD_specific
Dido1,Anxa9,1,1,0,1,AD_specific
Pdcd4,Kcnh6,1,1,0,1,AD_specific
Unc5a,Ttc4,1,1,1,0,WT_specific
Tbck,Msantd2,1,1,1,0,WT_specific
Gimap1,Ect2l,1,1,29,31,Shared
Zfp697,Gm5977,1,1,9,0,WT_specific
Szt2,Gm29776,1,1,17,1,Shared
Xiap,E130311K13Rik,1,1,1,0,WT_specific
Tenm3,Gpn1,1,1,1,0,WT_specific
Ncam1,Gabrg3,1,0,1,0,WT_specific
Fgf14,Ctla2a,1,1,0,12,AD_specific
Mrpl4,Mga,1,1,1,0,WT_specific
Ttc28,Nacc2,1,1,1,0,WT_specific
Tyr,Asxl2,1,1,4,0,WT_specific
Rad1,Ank3,1,1,0,47,AD_specific
Arhgef37,Ankrd7,1,1,0,9,AD_specific
Tenm2,Deaf1,1,1,1,0,WT_specific
Tbrg4,Ldhd,1,1,0,1,AD_specific
